Image,X (mm),Y (mm),Z (mm),RX (rad),RY (rad),RZ (rad),Base (deg),Shoulder (deg),Elbow (deg),Wrist1 (deg),Wrist2 (deg),Wrist3 (deg)
1,-0.25,-232.4,1079.49,0.002,2.221,-2.224,0,-90,0,-90,0,0
2,440.69,-496.42,725.59,1.158,-1.078,0.411,-27.87,-129.81,-2.76,-169.35,0.01,-0.11
3,42.22,-242.57,896.61,1.167,-1.814,2.149,29.04,-111.39,70.09,-175.28,0.03,-0.11
4,-614.43,-380.19,441.41,0.203,1.941,-1.839,12.96,-49.84,70.03,-175.26,0,-0.11
5,-109.59,-843.53,135.75,0.255,2.725,-1.21,71.55,-27.27,62.59,-171.27,-72.46,-0.11
6,169.7,-479.17,151.41,0.125,-3.388,0.59,90.86,-66.48,128.08,-171.46,-72.45,-0.11
7,92.33,-581.21,624.75,0.289,2.329,0.048,78.84,-77.55,58.28,-63.58,-44.79,-0.12
8,-297.98,-26.42,974.75,1.128,2.15,-2.444,-45.71,-101.4,52.18,-115.06,6.3,-0.11
9,471.18,-818.68,174.69,0.685,-1.563,0.528,-45.85,-177.38,-1.28,-94.72,6.34,-0.1
10,35.76,-259.69,1015.71,0.45,-2.922,2.606,35.73,-103.17,41.88,-94.67,6.31,-0.09