,X (mm),Y (mm),Z (mm),RX (rad),RY (rad),RZ (rad),Base (deg),Shoulder (deg),Elbow (deg),Wrist1 (deg),Wrist2 (deg),Wrist3 (deg)
1,71.29,-71.33,681.18,3.725,-1.776,1.866,0.04,-89.93,-0.16,-88.55,130.28,0.04
2,475.18,-257.38,538.98,0.493,-1.896,1.872,-0.92,-122.11,-0.09,-90.02,0.00,0.04
3,-158.86,-75.57,98.60,2.627,-1.174,-1.096,-56.37,-32.23,-110.01,-162.48,65.15,-92.38
4,867.21,-12.25,148.61,2.734,-1.450,1.295,11.91,-158.66,14.42,-81.11,74.05,-30.86
5,-237.22,-219.91,-244.82,1.550,0.356,-0.431,-0.87,-91.36,152.70,-90.08,-0.02,0.04
6,102.98,-238.88,-87.99,1.570,0.043,-0.136,-1.42,-54.69,-140.00,-175.05,0.16,3.22
7,-239.39,-675.63,225.84,0.097,-1.454,0.943,-90.54,-175.99,50.55,-38.63,40.23,-73.37
8,5.43,-232.71,679.28,0.998,1.505,-1.531,0.04,-91.12,-0.16,-85.99,0.79,63.03
9,-82.34,-229.50,647.08,0.801,1.724,-1.755,0.00,-89.99,0.00,-42.33,-0.02,0.04
10,-8.53,-232.24,679.49,0.043,2.239,-2.242,0.00,-90.00,0.00,-90.00,0.00,0.00